#Firmware: Speeduino 2023.05
PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
1.0,0.0,0.0,0.0,0.0,0.0,15701.904,4.064,15701.904
0.0,0.0,0.0,0.0,0.0,0.0,15704.524,2.62,15704.524
1.0,0.0,0.0,0.0,0.0,0.0,15708.544,4.02,15708.544
0.0,0.0,0.0,0.0,0.0,0.0,15711.148,2.604,15711.148
1.0,0.0,0.0,0.0,0.0,0.0,15715.248,4.1,15715.248
0.0,0.0,0.0,0.0,0.0,0.0,15717.836,2.588,15717.836
1.0,0.0,0.0,0.0,0.0,0.0,15722.052,4.216,15722.052
0.0,0.0,0.0,0.0,0.0,0.0,15724.684,2.632,15724.684
1.0,0.0,0.0,0.0,0.0,0.0,15728.836,4.152,15728.836
0.0,0.0,0.0,0.0,0.0,0.0,15731.432,2.596,15731.432
1.0,0.0,0.0,0.0,0.0,0.0,15735.652,4.22,15735.652
0.0,0.0,0.0,0.0,0.0,0.0,15738.316,2.664,15738.316
1.0,0.0,0.0,0.0,0.0,0.0,15742.54,4.224,15742.54
0.0,0.0,0.0,0.0,0.0,0.0,15745.596,3.056,15745.596
1.0,0.0,0.0,0.0,0.0,0.0,15761.848,16.252,15761.848
0.0,0.0,0.0,0.0,0.0,0.0,15767.304,5.456,15767.304
1.0,0.0,0.0,0.0,0.0,0.0,15772.692,5.388,15772.692
0.0,0.0,0.0,0.0,0.0,0.0,15775.584,2.892,15775.584
1.0,0.0,0.0,0.0,0.0,0.0,15781.444,5.86,15781.444
0.0,0.0,0.0,0.0,0.0,0.0,15784.464,3.02,15784.464
1.0,0.0,0.0,0.0,0.0,0.0,15791.096,6.632,15791.096
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
